input_index,input_context,input_file_key,input_first_author,worker_id_w1,work_time_in_seconds_w1,label_w1,worker_id_w2,work_time_in_seconds_w2,label_w2,worker_id_w3,work_time_in_seconds_w3,label_w3,batch,majority_vote,majority_agreement,lemos_label,temp_label_3/3
227,"named Scalable Representation Learning [12] is not included in our results, as it requires a much longer running time and we failed to produce its results in several days.",RS_121_NeurIPS_2019_04,First Author: Franceschi,A18LFH7XW61JO9,5,Neutral,A2R2YZTSME1K3F,158,Negative,A2QD9PJUKW7PKK,63,Negative,batch_21,Negative,2,Negative,OK
229,Dirichlet distribution is not used to approximate teachers predictive distribution for classification as in [32] because we empirically found it very numerically unstable and led to failure of convergence.,RS_103_MLRC_2020_10,First Author: Malinin,A3NAHN61XJ3ZAT,9,Negative,AJ0RL2YCXZC25,51,Neutral,A2HM35CWB7IIFM,7,Negative,batch_15,Negative,2,Negative,OK
231,"We benchmark against PECNet [77], a strong scene agnostic trajectory prediction method with state-of-the-art performance on standard intention agnostic prediction datasets.",RS_082_MLRC_2021_37,First Author: Mangalam,A3NAHN61XJ3ZAT,10,Neutral,A2QD9PJUKW7PKK,71,Positive,A2HM35CWB7IIFM,5,Positive,batch_11,Positive,2,Positive,OK
232,"Following the popular evaluation settings in the video anomaly detection community [8, 11, 17, 27, 32, 36], we report the area under the receiver operating characteristics curve (AUC) to evaluate the performance of the proposed framework.",RS_104_MLRC_2020_11,First Author: Park,A3NAHN61XJ3ZAT,14,Positive,A2R2YZTSME1K3F,47,Positive,A18LFH7XW61JO9,10,Positive,batch_16,Positive,3,Positive,OK
236,"While these models fail in Length splits for both SCAN and Okapi datasets, several models with specialized architectures [19, 26] have been proposed for SCAN dataset which achieve 100% accuracy on Length and MCD splits.",RS_044_MLRC_2022_44,First Author: Shaw,A2HM35CWB7IIFM,4,Positive,A3NAHN61XJ3ZAT,7,Neutral,A37WXDYYT7RCZ0,13,Neutral,batch_6,Neutral,2,Neutral,OK
237,"The theoretical analysis on self-supervised representation algorithms without negative samples [Tian et al., 2021] cannot be applied to the contrastive learning setting.",RS_062_MLRC_2021_17,First Author: Tian,A3NAHN61XJ3ZAT,13,Negative,A18LFH7XW61JO9,13,Neutral,A1G94QON7A9K0N,14,Negative,batch_9,Negative,2,Negative,OK
239,[32] enhanced this method by adding an additional identical matrix before multiplication to simulate the effect of residual connection of MSA.,RS_049_MLRC_2021_04,First Author: Chefer,A2QD9PJUKW7PKK,79,Neutral,A1FVXS8IM5QYO8,4,Positive,A2HM35CWB7IIFM,4,Positive,batch_7,Positive,2,Positive,OK
244,", 2019] and Match-DG [Mahajan et al., 2020], while Deep-All is used as baseline by pooling all training domains together.",RS_063_MLRC_2021_18,First Author: Mahajan,A3NAHN61XJ3ZAT,13,Neutral,A2R2YZTSME1K3F,88,Positive,A5V3ZMQI0PU3F,25,Neutral,batch_9,Neutral,2,Neutral,OK
245,In our work we use global pruning as used in the paper we are reproducing [4].,RS_127_NeurIPS_2019_10,First Author: Morcos,A2R2YZTSME1K3F,52,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,13,Neutral,batch_24,Positive,2,Positive,OK
247,To evaluate the quality of the learned representations we proposed and utilised novel extensions to an evaluation method that probes the representations using the AtariARI [5].,RS_126_NeurIPS_2019_09,First Author: Anand,A18LFH7XW61JO9,10,Positive,A2HM35CWB7IIFM,4,Positive,A2R2YZTSME1K3F,107,Positive,batch_23,Positive,3,Positive,OK
249,"In this experiment, we use FixMatch [33] as the baseline for semi supervised learning and follow the same configuration for training.",RS_102_MLRC_2020_09,First Author: Sohn,A1G94QON7A9K0N,17,Positive,A3NAHN61XJ3ZAT,7,Positive,A2QD9PJUKW7PKK,90,Positive,batch_12,Positive,3,Positive,OK
257,"S1), we used a diverse set of training dataset and employed the Masked Autoencoders (MAE) method [He et al., 2022] as the Pre-training method.",RS_040_MLRC_2022_40,First Author: He,A18LFH7XW61JO9,48,Positive,A5V3ZMQI0PU3F,21,Positive,A2R2YZTSME1K3F,34,Positive,batch_1,Positive,3,Positive,OK
263,"Despite of the good performance, such large models are not applicable when memory or computational resources are limited (Bellec et al., 2017; Evci et al., 2020; Liu et al., 2022).",RS_114_MLRC_2020_21,First Author: Evci,A3NAHN61XJ3ZAT,16,Negative,A2HM35CWB7IIFM,5,Negative,A2R2YZTSME1K3F,344,Neutral,batch_17,Negative,2,Negative,OK
269,"Following previous works [25, 27, 62], we evaluate our proposed methods on three standard OOD generalisation benchmark datasets described below.",RS_063_MLRC_2021_18,First Author: Mahajan,A18LFH7XW61JO9,13,Positive,A3NAHN61XJ3ZAT,14,Positive,A2QD9PJUKW7PKK,68,Positive,batch_9,Positive,3,Positive,OK
272,"The states dynamics of Hamiltonian systems can be written as [2, 13]",RS_123_NeurIPS_2019_06,First Author: Greydanus,A18LFH7XW61JO9,5,Neutral,A2R2YZTSME1K3F,37,Neutral,A5V3ZMQI0PU3F,40,Neutral,batch_21,Neutral,3,Neutral,OK
292,"Note that prior works that manipulate one feature at a time in latent space [1, 9, 31, 36, 40, 43] are not applicable in our context.",RS_055_MLRC_2021_10,First Author: Härkönen,A1G94QON7A9K0N,27,Negative,A18LFH7XW61JO9,9,Neutral,AKSJ3C5O3V9RB,11669,Negative,batch_8,Negative,2,Neutral,ISSUE
300,"In fact, although model-based methods are data-efficient, they suffer from the compounding prediction error increasing with model rollout length, which greatly affects the performance and limits model rollout length [Janner et al., 2019].",RS_125_NeurIPS_2019_08,First Author: Janner,A2R2YZTSME1K3F,68,Neutral,A2HM35CWB7IIFM,3,Negative,A1G94QON7A9K0N,17,Negative,batch_22,Negative,2,Negative,OK
305,We visualize the attention maps of transformers using Transformer Explainability [6].,RS_049_MLRC_2021_04,First Author: Chefer,A2QD9PJUKW7PKK,52,Positive,A1G94QON7A9K0N,15,Positive,A18LFH7XW61JO9,21,Neutral,batch_7,Positive,2,Positive,OK
309,"Also, [23, 26] used different train/test split from the original competition without publishing their split and so cannot be compared directly.",RS_134_ICDAR_2018_01,First Author: Schreiber,A2R2YZTSME1K3F,57,Neutral,A5V3ZMQI0PU3F,89,Negative,A2HM35CWB7IIFM,3,Negative,batch_25,Negative,2,Negative,OK
315,"Using existing latent space manipulation techniques, 2D GANs [7,10,21] can produce stylized images from multiple camera poses.",RS_055_MLRC_2021_10,First Author: Härkönen,A2QD9PJUKW7PKK,45,Neutral,A1G94QON7A9K0N,51,Positive,A3NAHN61XJ3ZAT,9,Neutral,batch_8,Neutral,2,Neutral,OK
330,"typically either taken from different locations of the data [e.g., spatial patches or temporal locations, see Hjelm et al., 2018, Oord et al., 2018, Anand et al., 2019, Hnaff et al., 2019] or obtained through data augmentation [Wu et al., 2018, He et al., 2019, Bachman et al., 2019, Tian et",RS_126_NeurIPS_2019_09,First Author: Anand,A18LFH7XW61JO9,8,Neutral,A2R2YZTSME1K3F,32,Neutral,A2QD9PJUKW7PKK,52,Neutral,batch_23,Neutral,3,Neutral,OK
333,"If L corresponds to a Markov process corresponding to a continuous version of simulated tempering, we show the corresponding generalized score matching loss is a Gaussian-convolution annealed score matching loss, akin to the one proposed in Song and Ermon (2019).",RS_120_NeurIPS_2019_03,First Author: Song,A37WXDYYT7RCZ0,8,Positive,A18LFH7XW61JO9,17,Neutral,A2HM35CWB7IIFM,3,Positive,batch_18,Positive,2,Positive,OK
335,We test our method on the following four physical systems from [11]:,RS_123_NeurIPS_2019_06,First Author: Greydanus,A18LFH7XW61JO9,16,Positive,A2R2YZTSME1K3F,73,Positive,A2HM35CWB7IIFM,4,Positive,batch_21,Positive,3,Positive,OK
340,"Altogether, our weak supervision outperforms the state-of-the-art with image-based input (Schreiber et al., 2018) by a considerable margin.",RS_134_ICDAR_2018_01,"Cited Paper: (Schreiber et al., 2018)",A2HM35CWB7IIFM,4,Positive,A2QD9PJUKW7PKK,77,Positive,A2R2YZTSME1K3F,115,Positive,batch_25,Positive,3,Positive,OK
349,"The dataset comes without predefined train/test split; hence, we follow Schreiber et al. (2018) and split the so-called competition part of the dataset with a 50%/50%-ratio.",RS_134_ICDAR_2018_01,First Author: Schreiber,A18LFH7XW61JO9,8,Neutral,A2HM35CWB7IIFM,3,Positive,A1G94QON7A9K0N,9,Positive,batch_26,Positive,2,Positive,OK
361,We reimplemented the DeepDeSRT table structure model [6] and trained it on the same private data as our proposed model.,RS_134_ICDAR_2018_01,First Author: Schreiber,A18LFH7XW61JO9,8,Neutral,A2HM35CWB7IIFM,4,Positive,A1G94QON7A9K0N,8,Positive,batch_26,Positive,2,Positive,OK
362,"Their proposed solutions for GNN explanations are too straightforward, making it hard to achieve significant results on other datasets, such as the ones in [7, 8].",RS_100_MLRC_2020_07,First Author: Luo,A3NAHN61XJ3ZAT,12,Negative,A1G94QON7A9K0N,20,Negative,A2QD9PJUKW7PKK,73,Negative,batch_12,Negative,3,Negative,OK
363,"However, we were unable to obtain reasonable performance, even after exploring a variety of values for post processing thresholds and training hyperparameters (values not specified in [6]).",RS_134_ICDAR_2018_01,First Author: Schreiber,A18LFH7XW61JO9,10,Negative,A1G94QON7A9K0N,10,Negative,A2HM35CWB7IIFM,4,Negative,batch_26,Negative,3,Negative,OK
372,"Therefore, we follow [7, 8] to formulate structural explanations as binary classification tasks, wherein influential nodes and edges of predictions are included in explanations.",RS_100_MLRC_2020_07,First Author: Luo,A3NAHN61XJ3ZAT,5,Neutral,A2HM35CWB7IIFM,4,Positive,A1G94QON7A9K0N,9,Positive,batch_12,Positive,2,Positive,OK
382,"uncertainty estimates, e.g., gender and age groups.et al. (2020) report 1.7% ECE with Rank-1 Bayesian neural nets and 3.0% with Deep Ensembles; Thulasidasan et al. (2019a) report 3.2% for ResNet-50 with Mixup, 2.9% for ResNet-50 with an entropy-regularized loss, and 1.8% for ResNet-50 with",RS_128_NeurIPS_2019_11,First Author: Thulasidasan,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,15,Neutral,A2R2YZTSME1K3F,82,Neutral,batch_24,Neutral,2,Neutral,OK
392,"hnique has also been used in semi-supervised learning (Berthelot et al. 2019) and also used to improve the robustness (Li, Socher, and Hoi 2020), uncertainty (Hendrycks et al. 2019), and calibration (Thulasidasan et al. 2019) of DNN classiers. Our Framework From KD to L2RKD Hinton et al. (Hinton, Vinyals, and Dean 2015) propose KD which minimizes the output probability differences between a student and a teacher over dat",RS_128_NeurIPS_2019_11,Cited Paper: (Thulasidasan et al. 2019),A18LFH7XW61JO9,13,Positive,A1G94QON7A9K0N,25,Neutral,A2QD9PJUKW7PKK,212,Neutral,batch_24,Neutral,2,Neutral,OK
421,"Abstract In this study, we performed some ablations on the main model developed in the paper ""Unsupervised Representation Learning in Atari"" [2] as part of the 2019 NeurIPS Reproducibility Challenge.",RS_126_NeurIPS_2019_09,First Author: Anand,A18LFH7XW61JO9,12,Neutral,A1G94QON7A9K0N,8,Positive,A2QD9PJUKW7PKK,226,Positive,batch_24,Positive,2,Positive,OK
428,"Although Luo et al. (2016) propose to measure the ERF for CNNs, it cannot be directly implemented to Transformer-base models.",RS_049_MLRC_2021_04,First Author: Chefer,A2HM35CWB7IIFM,3,Negative,A1G94QON7A9K0N,13,Negative,A2QD9PJUKW7PKK,127,Neutral,batch_7,Negative,2,Negative,OK
428,"Another recent work (Franceschi et al., 2019) makes use of convolutional neural networks in a framework heavily inspired by word2vec (Mikolov et al.",RS_121_NeurIPS_2019_04,"Cited Paper: (Franceschi et al., 2019)",A2QD9PJUKW7PKK,44,Negative,A2R2YZTSME1K3F,63,Neutral,A1G94QON7A9K0N,8,Neutral,batch_21,Neutral,2,Neutral,OK
433,"In sparse masks, the number of incoming/outgoing connections is not identical for all the neurons in the layer (Evci et al., 2020b) and this raises direct concerns against the blind usage of dense network initialization for sparse subnetworks.",RS_114_MLRC_2020_21,First Author: Evci,A3NAHN61XJ3ZAT,41,Negative,A2R2YZTSME1K3F,39,Neutral,A3EG4C9T4F5DUR,1549,Negative,batch_17,Negative,2,Negative,OK
438,"Assume we have a bootstrapped dynamics ensemble model f consisting of K different models (f1, . . . , fK) trained with different sequences of mini-batches of D (Chua et al., 2018; Janner et al., 2019).",RS_125_NeurIPS_2019_08,First Author: Janner,A2R2YZTSME1K3F,50,Positive,A1G94QON7A9K0N,8,Positive,A5V3ZMQI0PU3F,44,Neutral,batch_22,Positive,2,Positive,OK
448,"In [10], the authors analyze previous methods and their capability to generalize well for longer time horizons.",RS_125_NeurIPS_2019_08,First Author: Janner,A1G94QON7A9K0N,26,Neutral,A2R2YZTSME1K3F,32,Neutral,A3EG4C9T4F5DUR,5854,Positive,batch_22,Neutral,2,Neutral,OK
451,"Due to weight sharing in convolutional layers, ERK sparsity distribution doubles the FLOPs required at a given sparsity (Evci et al., 2020), which we also found to be the case with the convolutional networks used by DQN in the Atari environments (see subsection A.2 for further discussion).",RS_114_MLRC_2020_21,"Cited Paper: (Evci et al., 2020)",A3NAHN61XJ3ZAT,17,Neutral,A2R2YZTSME1K3F,72,Neutral,A2HM35CWB7IIFM,11,Positive,batch_17,Neutral,2,Positive,ISSUE
461,"But fine-grained testing does not work well when comparing mixup methods and non-mixup methods, since mixup is better class-calibrated [41].",RS_128_NeurIPS_2019_11,First Author: Thulasidasan,A2HM35CWB7IIFM,4,Negative,AKSJ3C5O3V9RB,4671,Negative,A18LFH7XW61JO9,14,Neutral,batch_24,Negative,2,Negative,OK
464,"While it somewhat outperforms the rollout method in specific scenarios, it is not ready to support large-scale evaluations [15].",RS_049_MLRC_2021_04,First Author: Chefer,A18LFH7XW61JO9,16,Negative,A1G94QON7A9K0N,10,Negative,A2HM35CWB7IIFM,4,Negative,batch_7,Negative,3,Negative,OK
475,Trying to teach computers to see and alsounderstand what is a table has proven be extremely difficult [25].,RS_134_ICDAR_2018_01,First Author: Schreiber,A18LFH7XW61JO9,12,Neutral,A2HM35CWB7IIFM,3,Negative,A1G94QON7A9K0N,12,Neutral,batch_26,Neutral,2,Neutral,OK
489,"To ver-ify the effectiveness of Sup-tickets, we apply it to various sparse training methods, including 3 DST methods: SET, RigL [Evci et al., 2020], and GraNet [Liu et al., 2021b]; one SST method: ERK [Evci et al., 2020]; and one pruning at initialization approach: SNIP [Lee et al., 2018].",RS_114_MLRC_2020_21,First Author: Evci,A3NAHN61XJ3ZAT,14,Positive,A2R2YZTSME1K3F,32,Positive,A3EG4C9T4F5DUR,50,Positive,batch_17,Positive,3,Positive,OK
521,"for random pruning, every layer can be uniformly pruned with the same pre-defined pruning ratio (Mariet and Sra, 2015; He et al., 2017; Gale et al., 2019) or the pruning ratio can be varied for different layers such as Erdo-Renyi (Mocanu et al., 2018) and Erdo-Renyi Kernel (Evci et al., 2020).",RS_114_MLRC_2020_21,"Cited Paper: (Evci et al., 2020)",A3NAHN61XJ3ZAT,9,Neutral,A2R2YZTSME1K3F,38,Neutral,A3EG4C9T4F5DUR,13,Positive,batch_17,Neutral,2,Neutral,OK
522,"Consistent with prior works [11, 14, 34], we focus on explanations on graph structures.",RS_100_MLRC_2020_07,First Author: Luo,A3NAHN61XJ3ZAT,7,Neutral,A1G94QON7A9K0N,16,Positive,A2HM35CWB7IIFM,3,Positive,batch_12,Positive,2,Neutral,ISSUE
531,"Motivated by such an analysis, they proposed the AutoMBPO framework to automatically schedule the key hyperparameters of the MBPO [Janner et al., 2019] algorithm.",RS_125_NeurIPS_2019_08,First Author: Janner,A2R2YZTSME1K3F,146,Neutral,A1G94QON7A9K0N,7,Neutral,A5V3ZMQI0PU3F,48,Neutral,batch_22,Neutral,3,Neutral,OK
533,"[24] requires explicit motif to generate explanations thus could not be applied on NCI1 and CiteSeer, which is the reason why it is not included.",RS_100_MLRC_2020_07,First Author: Luo,A3NAHN61XJ3ZAT,7,Negative,A2QD9PJUKW7PKK,234,Neutral,A1G94QON7A9K0N,12,Negative,batch_12,Negative,2,Negative,OK
554,"Following (Greydanus et al., 2019), we evaluate the MSEs of the predicted trajectories and energies from their corresponding ground truth at each time step.",RS_123_NeurIPS_2019_06,"Cited Paper: (Greydanus et al., 2019)",A2R2YZTSME1K3F,36,Positive,A1G94QON7A9K0N,9,Positive,A18LFH7XW61JO9,8,Positive,batch_21,Positive,3,Positive,OK
559,"In this paper, we focus on theories of the properties of the most fundamental model, comprising Hamiltonian neural networks (HNNs) (Greydanus, Dzamba, and Yosinski 2019)du dt = S HNN u(2)and their extensions in practical situations, where the learning error is not completely zero.",RS_123_NeurIPS_2019_06,First Author: Greydanus,A18LFH7XW61JO9,5,Neutral,A2HM35CWB7IIFM,3,Positive,A2R2YZTSME1K3F,121,Positive,batch_21,Positive,2,Positive,OK
568,"Thulasidasan et al. (2019) has demonstrated Mixups ability to distinguish ood samples however, we believe that natural shift is a weaker notion of data shift than ood evaluation and MX fails to provide any benefit in this regard.",RS_128_NeurIPS_2019_11,First Author: Thulasidasan,A18LFH7XW61JO9,21,Neutral,A2HM35CWB7IIFM,4,Negative,A1G94QON7A9K0N,14,Negative,batch_24,Negative,2,Negative,OK
577,"A prevalent solution is building an explainer model to conduct feature attribution (Ying et al., 2019; Luo et al., 2020; Pope et al., 2019).",RS_100_MLRC_2020_07,First Author: Luo,A3NAHN61XJ3ZAT,7,Neutral,A2QD9PJUKW7PKK,42,Neutral,A1G94QON7A9K0N,37,Neutral,batch_12,Neutral,3,Neutral,OK
589,"For a fair comparison we also include LRR (Renda et al., 2020) which uses a pre-trained network and multiple rounds of pruning and retraining by leveraging learning rate rewinding.",RS_075_MLRC_2021_30,"Cited Paper: (Renda et al., 2020)",A3NAHN61XJ3ZAT,15,Positive,A18LFH7XW61JO9,7,Positive,A1G94QON7A9K0N,16,Positive,batch_10,Positive,3,Positive,OK
620,"We also tried MBPO [35], but we found that this method takes too much memory and could not finish any test.",RS_125_NeurIPS_2019_08,First Author: Janner,A1G94QON7A9K0N,12,Negative,A2R2YZTSME1K3F,50,Negative,A2HM35CWB7IIFM,4,Negative,batch_22,Negative,3,Negative,OK
633,"[26], one of the state-of-the-art (SOTA) first-order optimizers, introduced a new second-order momentum using a squared error between the current gradient and the first-order momentum, which is formulated as",RS_054_MLRC_2021_09,First Author: Zhuang,A2QD9PJUKW7PKK,165,Neutral,A18LFH7XW61JO9,32,Neutral,A1G94QON7A9K0N,38,Neutral,batch_7,Neutral,3,Neutral,OK
663,"In our approach, we adopt the masked autoencoder [19] to improve the channel estimation performance.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,146,Positive,A1FVXS8IM5QYO8,6,Positive,A37WXDYYT7RCZ0,23,Neutral,batch_2,Positive,2,Positive,OK
669,"For example, as shall be shown, pairing StyleFusion with GANSpace [Hrknen et al. 2020] or StyleCLIP [Patashnik et al. 2021] leverages their diverse manipulations while ensuring that the resulting edits alter only the desired semantic regions.",RS_055_MLRC_2021_10,First Author: Härkönen,A2QD9PJUKW7PKK,136,Positive,A2HM35CWB7IIFM,4,Positive,A1G94QON7A9K0N,57,Positive,batch_8,Positive,3,Positive,OK
715,By physics-inspired neural networks [4] authors generally mean either incorporating domain knowledge in the traditional NN or providing additional loss functions to ensure physically consistent predictions [57].,RS_123_NeurIPS_2019_06,First Author: Greydanus,A5V3ZMQI0PU3F,92,Neutral,A2R2YZTSME1K3F,58,Neutral,A3EG4C9T4F5DUR,6425,Positive,batch_22,Neutral,2,Neutral,OK
737,", the dyna-style algorithm, which has recently shown the potential to achieve high sample efficiency (Janner et al. 2019).",RS_125_NeurIPS_2019_08,Cited Paper: (Janner et al. 2019),A18LFH7XW61JO9,10,Neutral,A37WXDYYT7RCZ0,5,Positive,A2QD9PJUKW7PKK,48,Positive,batch_23,Positive,2,Neutral,ISSUE
742,"However, many of these results are achieved by model-free algorithms and generally require a massive number of samples, which significantly hinders the applications of modelfree methods in real-world tasks (Kurutach et al. 2018; Janner et al. 2019).",RS_125_NeurIPS_2019_08,First Author: Janner,A2HM35CWB7IIFM,4,Negative,A3EG4C9T4F5DUR,4056,Negative,AKSJ3C5O3V9RB,23536,Negative,batch_23,Negative,3,Negative,OK
785,"Following Evci et al. (2019); Gale et al. (2019), we conduct experiments to compare this strong baseline with `1-norm filters pruning while employing CLR on CIFAR-10, CIFAR-100 and ImageNet.",RS_114_MLRC_2020_21,First Author: Evci,A3NAHN61XJ3ZAT,13,Positive,A2R2YZTSME1K3F,42,Positive,A3EG4C9T4F5DUR,1617,Positive,batch_17,Positive,3,Positive,OK
789,"Due to limited computation, we are unable to use large batch sizes as in FixMatch (Sohn et al., 2020) (1024 for labeled data and 5120 for unlabeled data).",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A18LFH7XW61JO9,23,Negative,A2QD9PJUKW7PKK,70,Negative,A2HM35CWB7IIFM,5,Negative,batch_13,Negative,3,Negative,OK
790,We calculate theoretical FLOP requirements in a manner similar to Evci et al. [2020] (exact details in the supplementary material).,RS_114_MLRC_2020_21,First Author: Evci,A3NAHN61XJ3ZAT,21,Neutral,A1G94QON7A9K0N,17,Positive,A2R2YZTSME1K3F,70,Positive,batch_17,Positive,2,Positive,OK
793,"We conduct ablation studies to better understand our approach InPL, where we integrate it into the framework of FixMatch (Sohn et al., 2020) and ABC (Lee et al., 2021).",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A18LFH7XW61JO9,36,Neutral,A2QD9PJUKW7PKK,150,Positive,A2HM35CWB7IIFM,5,Positive,batch_13,Positive,2,Positive,OK
803,"This paper focuses on the instance-level explanation, for which most of the existing methods, e.g., GNNExplainer (Ying et al., 2019), PGExplainer (Luo et al., 2020) and methods in Pope et al. (2019), only consider lower-order features, i.e., nodes and edges, ignoring higher-order interactions.",RS_100_MLRC_2020_07,"Cited Paper: (Luo et al., 2020)",A3NAHN61XJ3ZAT,9,Neutral,A1G94QON7A9K0N,14,Positive,A2QD9PJUKW7PKK,16950,Neutral,batch_12,Neutral,2,Neutral,OK
825,"As expected, MAE [37] struggles in these setups.",RS_040_MLRC_2022_40,First Author: He,A2HM35CWB7IIFM,4,Negative,A1FVXS8IM5QYO8,4,Negative,A18LFH7XW61JO9,12,Negative,batch_2,Negative,3,Negative,OK
847,"We compare RoPAWS with PAWS and FixMatch (Sohn et al., 2020), together with state-of-the-art robust Semi-SL (OOD filtering) methods: UASD (Chen et al., 2020d), DS3L (Guo et al., 2020), OpenMatch (Saito et al., 2021), and OpenCos (Park et al., 2021).",RS_102_MLRC_2020_09,"Cited Paper: (Sohn et al., 2020)",A18LFH7XW61JO9,11,Positive,A2HM35CWB7IIFM,5,Positive,A3NAHN61XJ3ZAT,9,Positive,batch_13,Positive,3,Positive,OK
855,", 2020) that follows MBPO (Janner et al., 2019) with additional reward penalties and MBOP (Argenson and Dulac-Arnold, 2020) that learns an offline model to perform online planning.",RS_125_NeurIPS_2019_08,"Cited Paper: (Janner et al., 2019)",A18LFH7XW61JO9,10,Positive,A2QD9PJUKW7PKK,76,Neutral,A2R2YZTSME1K3F,19,Neutral,batch_23,Neutral,2,Neutral,OK
856,"MOPO (Yu et al., 2020) follows MBPO Janner et al. (2019) with additional reward penalty on unreliable model-generated transitions.",RS_125_NeurIPS_2019_08,First Author: Janner,A18LFH7XW61JO9,14,Positive,A2R2YZTSME1K3F,65,Neutral,A2QD9PJUKW7PKK,40,Neutral,batch_23,Neutral,2,Neutral,OK
914,"More specifically, for a given method that discovers a set of paths, that is, linear in the cases of [34, 11] or non-linear in our case, in the latent space of a pretrained GAN, we generate an image sequence for each path, starting from a random latent code and walking towards the positive and the negative ways of the path for a certain amount of steps.",RS_055_MLRC_2021_10,First Author: Härkönen,A1G94QON7A9K0N,32,Positive,A18LFH7XW61JO9,7,Neutral,A2HM35CWB7IIFM,4,Positive,batch_8,Positive,2,Positive,OK
952,"In our method, each training trajectory has an overlap much larger than (Janner et al., 2019) has with the expert trajectory.",RS_125_NeurIPS_2019_08,"Cited Paper: (Janner et al., 2019)",A18LFH7XW61JO9,13,Neutral,A2R2YZTSME1K3F,58,Positive,A2HM35CWB7IIFM,7,Positive,batch_23,Positive,2,Positive,OK
1008,"As claimed in MAE [49], auto-encoder models may be comparative with contrastive models, so VGNAE tries to explore auto-encoder mechanism further and achieve the best performance on some tasks.",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,81,Positive,A3NAHN61XJ3ZAT,86,Positive,A18LFH7XW61JO9,13,Neutral,batch_2,Positive,2,Positive,OK
1010,"We compare with global magnitude (GM) following the same schedule as oViT, as well as the state-of-the-art SViTE [Chen et al., 2021] paper, which trains the sparse model from scratch using a variant of RigL [Evci et al., 2020], but for a total of 600 epochs.",RS_114_MLRC_2020_21,First Author: Evci,A37WXDYYT7RCZ0,9,Positive,A2HM35CWB7IIFM,4,Positive,A18LFH7XW61JO9,10,Positive,batch_18,Positive,3,Positive,OK
1024,"(2)This process is done by a base learner (machine learning algorithm) in some meta learning methods (Bertinetto et al., 2019; Lee et al., 2019).",RS_130_ICLR_2019_02,First Author: Bertinetto,A2HM35CWB7IIFM,3,Neutral,A2R2YZTSME1K3F,134,Neutral,A2QD9PJUKW7PKK,33,Neutral,batch_25,Neutral,3,Neutral,OK
1025,"The formulation of few-shot learning we use here is similar to Lee et al. (2019); Bertinetto et al. (2019), but also other formulations of few shot learning exist, e.g., MAML (Finn et al., 2017).",RS_130_ICLR_2019_02,First Author: Bertinetto,A2HM35CWB7IIFM,4,Positive,A2R2YZTSME1K3F,73,Positive,A5V3ZMQI0PU3F,68,Positive,batch_25,Positive,3,Positive,OK
1026,", 2022); (3) Language has a higher information density compared to images (He et al., 2022) and tables, the transformation from low-density to high-density can be done losslessly for tables and with minimal loss for images using",RS_040_MLRC_2022_40,"Cited Paper: (He et al., 2022)",A2QD9PJUKW7PKK,818,Neutral,A18LFH7XW61JO9,10,Neutral,AKSJ3C5O3V9RB,31973,Positive,batch_2,Neutral,2,Neutral,OK
1041,"On the other hand, LTH-based (Chen et al., 2020a; Evci et al., 2020) methods can be borrowed to find the mask by several iterations, but it is prohibitively time-consuming.",RS_114_MLRC_2020_21,First Author: Evci,A18LFH7XW61JO9,11,Neutral,AKSJ3C5O3V9RB,289,Negative,A3NAHN61XJ3ZAT,6,Neutral,batch_18,Neutral,2,Neutral,OK
1043,"Recently, masked autoencoder (MAE) [23] has exhibited great success on various computer vision",RS_040_MLRC_2022_40,First Author: He,A2QD9PJUKW7PKK,141,Neutral,A18LFH7XW61JO9,19,Neutral,A37WXDYYT7RCZ0,28,Neutral,batch_2,Neutral,3,Neutral,OK
1059,Layerwise manipulation of the GANs are then performed to produce edits in the input image that are interpretable in terms of chosen semantic features [16].,RS_055_MLRC_2021_10,First Author: Härkönen,A1G94QON7A9K0N,31,Positive,A2HM35CWB7IIFM,5,Positive,A2QD9PJUKW7PKK,14866,Neutral,batch_8,Positive,2,Positive,OK
1103,"As observed in other studies [5, 33], AEs tend to generalize too well to out-of-distribution data.",RS_040_MLRC_2022_40,First Author: He,AH3ER3EJXHRO2,9,Negative,A2HM35CWB7IIFM,4,Negative,A2QD9PJUKW7PKK,92,Neutral,batch_2,Negative,2,Neutral,ISSUE
1119,"However, this protocol is not suitable for the evaluation of non-linear representations [1, 11, 15].",RS_040_MLRC_2022_40,First Author: He,A2HM35CWB7IIFM,8,Negative,A2QD9PJUKW7PKK,128,Neutral,A1FVXS8IM5QYO8,6,Negative,batch_2,Negative,2,Negative,OK
1123,"We attempt to interpret the latent space of the model trained to synthesize all classes (setting B), following [13].",RS_055_MLRC_2021_10,First Author: Härkönen,A1G94QON7A9K0N,24,Positive,A2QD9PJUKW7PKK,86,Positive,A2HM35CWB7IIFM,4,Positive,batch_8,Positive,3,Positive,OK
